StopId,Code,Name,StopType,Zone,Street,Lng,Lat,Routes
33,BX 06,Công Trường Mê Linh,Bến xe,Quận 1,Thi Sách,106.705856,10.77679,01
79,Q1 031,Bến Bạch Đằng,Trụ dừng,Quận 1,Tôn Đức Thắng,106.706359,10.773299,"01, 03, 19, 45, 53, 56, 88, DL01"
76,Q1 020,Cục Hải Quan Thành Phố,Nhà chờ,Quận 1,Hàm Nghi,106.705549,10.770885,"01, 03, 123, 124, 19, 45, 56, 88"
3691,Q1 193,Chợ Cũ,Nhà chờ,Quận 1,Hàm Nghi,106.703108,10.771006,"01, 03, 19, 45, 56, 88"
2028,Q1 194,Trường Cao Thắng,Nhà chờ,Quận 1,Hàm Nghi,106.701853,10.771043,"01, 03, 102, 19, 20, 34, 38, 39, 45, 56, 75, 88, D4"
4223,Q1 102,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Hàm Nghi,106.699514,10.771043,"01, 102, 44, 65"
120,Q1 124,Trường Ernst Thalmann,Nhà chờ,Quận 1,Trần Hưng Đạo,106.695923,10.768772,"01, 139, 28, 45, 69"
121,Q1 125,KTX Trần Hưng Đạo,Nhà chờ,Quận 1,Trần Hưng Đạo,106.694695,10.767363,"01, 139, 152, 45, 56"
122,Q1 126,Rạp Hưng Đạo,Nhà chờ,Quận 1,Trần Hưng Đạo,106.693375,10.765832,"01, 139, 152, 45, 56"
123,Q1 127,Bệnh viện Răng Hàm Mặt,Nhà chờ,Quận 1,Trần Hưng Đạo,106.691696,10.763918,"01, 139, 152"
124,Q1 128,Trần Đình Xu,Trụ dừng,Quận 1,Trần Hưng Đạo,106.690247,10.762262,"01, 139, 152"
125,Q1 129,Tổng Cty Samco,Nhà chờ,Quận 1,Trần Hưng Đạo,106.687798,10.759409,"01, 139, 152"
126,Q1 130,Chợ Nanci,Trụ dừng,Quận 1,Trần Hưng Đạo,106.686035,10.757467,"01, 139, 152"
127,Q5 083,Nguyễn Biểu,Trụ dừng,Quận 5,Trần Hưng Đạo,106.68283,10.755887,01
128,Q5 084,Trường Cao đẳng Kinh tế Đối ngoại,Nhà chờ,Quận 5,Trần Hưng Đạo,106.681833,10.755623,01
129,Q5 085,Trần Bình Trọng,Trụ dừng,Quận 5,Trần Hưng Đạo,106.679794,10.755064,01
130,Q5 086,Bệnh viện Chấn thương Chỉnh hình,Nhà chờ,Quận 5,Trần Hưng Đạo,106.677847,10.754537,01
131,Q5 087,Rạp Đồng Tháp,Trụ dừng,Quận 5,Trần Hưng Đạo,106.675825,10.753984,01
134,Q5 088,Rạp Đống Đa,Trụ dừng,Quận 5,Trần Hưng Đạo,106.674237,10.753573,01
132,Q5 089,Đồng Khánh,Trụ dừng,Quận 5,Trần Hưng Đạo,106.67149,10.752983,01
14,Q5 099,Nhà Văn hóa Quận 5,Trụ dừng,Quận 5,Trần Phú,106.668588,10.753025,"01, 59"
136,Q5 090,Ngô Quyền,Biển treo,Quận 5,Trần Hưng Đạo,106.666174,10.752477,01
133,Q5 091,Tản Đà,Trụ dừng,Quận 5,Trần Hưng Đạo,106.663706,10.752292,01
135,Q5 092,Triệu Quang Phục,Trụ dừng,Quận 5,Trần Hưng Đạo,106.660536,10.75206,01
137,Q5 014,Bưu điện Quận 5,Ô sơn,Quận 5,Châu Văn Liêm,106.658894,10.751381,"01, 07, 08, 45, 56, 62"
138,Q5 015,Hải Thượng Lãn Ông,Trụ dừng,Quận 5,Hải Thượng Lãn Ông,106.658358,10.750948,"01, 07, 25, 39, 47, 56"
139,Q5 102,Chợ Kim Biên,Trụ dừng,Quận 5,Trang Tử,106.655086,10.751128,"01, 07, 25, 39, 47, 56"
8,BX14,Bến xe Chợ Lớn,Bến xe,Quận 5,Lê Quang Sung,106.6525650024414,10.751253128051758,"01, 05, 06, 07, 09, 150, 23, 47, 56, 62-1, 62-10, 62-7, 62-8, 81, 94"
1,Q6 095,Chu Văn An,Trụ dừng,Quận 6,Tháp Mười,106.652554,10.750232,"01, 07, 10, 150, 25, 56"
2,Q5 016,Chợ Kim Biên,Trụ dừng,Quận 5,Hải Thượng Lãn Ông,106.655075,10.750732,"01, 07, 25, 39, 47, 56"
3,Q5 011,Bưu điện Quận 5,Ô sơn,Quận 5,Châu Văn Liêm,106.659203,10.751368,"01, 07, 08, 45, 56, 62"
5,Q5 012,Rạp Đại Quang,Nhà chờ,Quận 5,Châu Văn Liêm,106.658937,10.752566,"01, 07, 08, 10, 45, 56, 62"
4,Q5 055,Lương Nhữ Học,Trụ dừng,Quận 5,Nguyễn Trãi,106.660418,10.752962,"01, 91"
7,Q5 056,Triệu Quang Phục,Trụ dừng,Quận 5,Nguyễn Trãi,106.662081,10.753088,"01, 91"
9,Q5 057,Đại học Sư phạm Thể dục thể thao,Nhà chờ,Quận 5,Nguyễn Trãi,106.663486,10.753341,"01, 91"
12,Q5 058,Siêu thị Điện máy Chợ Lớn,Trụ dừng,Quận 5,Nguyễn Trãi,106.664913,10.753626,"01, 91"
6,Q5 059,Ngô Quyền,Trụ dừng,Quận 5,Nguyễn Trãi,106.666882,10.754,"01, 91"
10,Q5 060,Chung cư Nguyễn Trãi,Trụ dừng,Quận 5,Nguyễn Trãi,106.668572,10.754337,"01, 91"
11,Q5 072,Siêu thị Điện máy,Trụ dừng,Quận 5,Nguyễn Tri Phương,106.669418,10.754023,"01, 59"
16,Q5 093,Đồng Khánh,Trụ dừng,Quận 5,Trần Hưng Đạo,106.670412,10.752677,01
17,Q5 094,An Bình,Trụ dừng,Quận 5,Trần Hưng Đạo,106.672837,10.752977,01
13,Q5 095,Rạp Đồng Tháp,Trụ dừng,Quận 5,Trần Hưng Đạo,106.675937,10.753784,01
