HubId,StopId,Code,Name,StopType,Zone,Street,Lng,Lat,Routes
0,1,Q6 095,Chu Văn An,Trụ dừng,Quận 6,Tháp Mười,106.652554,10.750232,"01, 07, 10, 150, 25, 56"
1,2,Q5 016,Chợ Kim Biên,Trụ dừng,Quận 5,Hải Thượng Lãn Ông,106.655075,10.750732,"01, 07, 25, 39, 47, 56"
2,3,Q5 011,Bưu điện Quận 5,Ô sơn,Quận 5,Châu Văn Liêm,106.659203,10.751368,"01, 07, 08, 45, 56, 62"
3,4,Q5 055,Lương Nhữ Học,Trụ dừng,Quận 5,Nguyễn Trãi,106.660418,10.752962,"01, 91"
4,5,Q5 012,Rạp Đại Quang,Nhà chờ,Quận 5,Châu Văn Liêm,106.658937,10.752566,"01, 07, 08, 10, 45, 56, 62"
5,8,BX14,Bến xe Chợ Lớn,Bến xe,Quận 5,Lê Quang Sung,106.6525650024414,10.751253128051758,"01, 05, 06, 07, 09, 150, 23, 47, 56, 62-1, 62-10, 62-7, 62-8, 81, 94"
6,11,Q5 072,Siêu thị Điện máy,Trụ dừng,Quận 5,Nguyễn Tri Phương,106.669418,10.754023,"01, 59"
7,14,Q5 099,Nhà Văn hóa Quận 5,Trụ dừng,Quận 5,Trần Phú,106.668588,10.753025,"01, 59"
8,18,Q1 131,Chợ Nanci,Trụ dừng,Quận 1,Trần Hưng Đạo,106.685883,10.75699,"01, 139, 152"
9,25,Q1 136,Rạp Trần Hưng Đạo,Nhà chờ,Quận 1,Trần Hưng Đạo,106.692722,10.76483,"01, 139, 152, 45, 53, 56"
10,26,Q1 137,KTX Trần Hưng Đạo,Nhà chờ,Quận 1,Trần Hưng Đạo,106.694824,10.767064,"01, 139, 152, 45, 53, 56, 88"
11,27,Q1 138,Nguyễn Kim,Nhà chờ,Quận 1,Trần Hưng Đạo,106.695847,10.768327,"01, 152, 31, 38, 45, 53, 56, 75, 88"
12,31,Q1 024,Bến Bạch Đằng,Nhà chờ,Quận 1,Tôn Đức Thắng,106.706654,10.774094,"01, 03, 19, 45, 53, 56, 88, DL01, DL02"
13,32,Q1 017,Hồ Tùng Mậu,Nhà chờ,Quận 1,Hàm Nghi,106.704074,10.770722,"01, 03, 19, 20, 45, 56, 75, 88, DL01"
14,33,BX 06,Công Trường Mê Linh,Bến xe,Quận 1,Thi Sách,106.705856,10.77679,01
15,34,Q1 057,Công Trường Mê Linh,Nhà chờ,Quận 1,Hai Bà Trưng,106.705822,10.775997,"01, 03, 19, 45"
16,35,BX 01,Bến xe buýt Sài Gòn,Bến xe,Quận 1,Lê Lai,106.689362,10.767676,"03, 04, 102, 109, 13, 140, 18, 19, 20, 27, 28, 34, 36, 39, 52, 65, 69, 72, 75, 88, 93, D4"
17,43,Q1 062,Công viên Lê Văn Tám,Nhà chờ,Quận 1,Hai Bà Trưng,106.692599,10.787427,"03, 31, 36"
18,47,Q1 064,Chợ Tân Định,Trụ dừng,Quận 1,Hai Bà Trưng,106.688843,10.790456,"03, 31, 36"
19,50,QPN 001,Ngã tư Phú Nhuận,Trụ dừng,Quận Phú Nhuận,Nguyễn Kiệm,106.680138,10.799713,"03, 55"
20,56,QGV 040,Cầu vượt Nguyễn Thái Sơn - Nguyễn Kiệm,Trụ dừng,Quận Gò Vấp,Nguyễn Thái Sơn,106.680443,10.816282,"03, 07, 103, 148, 55, 59"
