LinkId,NodeId_1,NodeId_2,StopId_1,StopId_2,LinkName,share_RouteNo
0,0,1,33,79,33_79,['1']
1,1,2,79,76,79_76,"['1', '3', '19', '45', '56', '88']"
2,2,3,76,3691,76_3691,"['1', '3', '19', '45', '56', '88']"
3,3,4,3691,2028,3691_2028,"['1', '3', '19', '45', '56', '88']"
4,4,5,2028,4223,2028_4223,"['1', '102']"
5,5,6,4223,120,4223_120,['1']
6,6,7,120,121,120_121,"['1', '139', '45']"
7,7,8,121,122,121_122,"['1', '139', '152', '45', '56']"
8,8,9,122,123,122_123,"['1', '139', '152']"
9,9,10,123,124,123_124,"['1', '139', '152']"
10,10,11,124,125,124_125,"['1', '139', '152']"
11,11,12,125,126,125_126,"['1', '139', '152']"
12,12,13,126,127,126_127,['1']
13,13,14,127,128,127_128,['1']
14,14,15,128,129,128_129,['1']
15,15,16,129,130,129_130,['1']
16,16,17,130,131,130_131,['1']
17,17,18,131,134,131_134,['1']
18,18,19,134,132,134_132,['1']
19,19,20,132,14,132_14,['1']
20,20,21,14,136,14_136,['1']
21,21,22,136,133,136_133,['1']
22,22,23,133,135,133_135,['1']
23,23,24,135,137,135_137,['1']
24,24,25,137,138,137_138,"['1', '7', '56']"
25,25,26,138,139,138_139,"['1', '7', '25', '39', '47', '56']"
26,26,27,139,8,139_8,"['1', '7', '47', '56']"
27,27,28,8,1,8_1,"['1', '7', '150', '56']"
28,28,29,1,2,1_2,"['1', '7', '25', '56']"
29,29,30,2,3,2_3,"['1', '7', '56']"
30,30,31,3,5,3_5,"['1', '7', '8', '45', '56', '62']"
31,31,32,5,4,5_4,['1']
32,32,33,4,7,4_7,"['1', '91']"
33,33,34,7,9,7_9,"['1', '91']"
34,34,35,9,12,9_12,"['1', '91']"
35,35,36,12,6,12_6,"['1', '91']"
36,36,37,6,10,6_10,"['1', '91']"
37,37,38,10,11,10_11,['1']
38,38,20,11,14,11_14,"['1', '59']"
39,20,39,14,16,14_16,['1']
40,39,40,16,17,16_17,['1']
41,40,41,17,13,17_13,['1']
42,41,42,13,15,13_15,['1']
43,42,43,15,19,15_19,['1']
44,43,44,19,20,19_20,['1']
45,44,45,20,18,20_18,['1']
46,45,46,18,22,18_22,"['1', '139', '152']"
47,46,47,22,21,22_21,"['1', '139', '152']"
48,47,48,21,23,21_23,"['1', '139', '152']"
49,48,49,23,24,23_24,"['1', '139', '152']"
