NodeId,StopId
0,33
1,79
2,76
3,3691
4,2028
5,4223
6,120
7,121
8,122
9,123
10,124
11,125
12,126
13,127
14,128
15,129
16,130
17,131
18,134
19,132
20,14
21,136
22,133
23,135
24,137
25,138
26,139
27,8
28,1
29,2
30,3
31,5
32,4
33,7
34,9
35,12
36,6
37,10
38,11
39,16
40,17
41,13
42,15
43,19
44,20
45,18
46,22
47,21
48,23
49,24
50,25
51,26
52,27
53,7266
54,7693
55,1256
56,32
57,31
58,34
59,35
60,7276
61,7277
62,7278
63,7265
64,7588
65,42
66,44
67,39
68,41
69,43
70,46
71,47
72,45
73,49
74,48
75,50
76,51
77,52
78,53
79,54
80,55
81,56
82,57
83,60
84,58
85,62
86,67
87,63
88,72
89,64
90,4754
91,73
92,213
93,68
94,74
95,69
96,70
97,71
98,77
99,3204
100,3203
101,3206
102,3259
103,3207
104,3210
105,75
106,3255
107,3208
108,3257
109,3205
110,3261
111,3260
112,3262
113,3263
114,204
115,205
116,206
117,207
118,208
119,211
120,209
121,210
122,212
123,214
124,215
125,216
126,218
127,217
128,220
129,219
130,221
131,223
132,224
133,225
134,226
135,228
136,230
137,227
138,229
139,232
140,4755
141,4756
142,4757
143,231
144,234
145,233
146,235
147,236
148,237
149,238
150,239
151,7270
152,7269
153,7273
154,7274
155,7275
156,4271
157,2724
158,4272
159,4273
160,4274
161,243
162,244
163,245
164,246
165,247
166,248
167,250
168,249
169,251
170,252
171,253
172,254
173,255
174,256
175,258
176,259
177,260
178,261
179,262
180,263
181,264
182,265
183,266
184,268
185,267
186,270
187,271
188,272
189,273
190,275
191,277
192,1115
193,1239
194,166
195,167
196,172
197,168
198,169
199,174
200,173
201,176
202,175
203,177
204,178
205,180
206,181
207,179
208,183
209,182
210,185
211,184
212,187
213,186
214,188
215,190
216,191
217,189
218,193
219,192
220,196
221,194
222,198
223,195
224,197
225,200
226,199
227,201
228,82
229,2393
230,897
231,1580
232,1050
233,281
234,282
235,283
236,284
237,285
238,286
239,288
240,3164
241,287
242,290
243,289
244,292
245,242
246,291
247,294
248,296
249,293
250,295
251,298
252,297
253,300
254,299
255,302
256,301
257,305
258,304
259,309
260,306
261,310
262,312
263,307
264,308
265,314
266,316
267,311
268,313
269,318
270,315
271,320
272,317
273,322
274,319
275,321
276,323
277,325
278,324
279,330
280,327
281,329
282,332
283,331
284,333
285,7208
286,334
287,335
288,336
289,338
290,337
291,340
292,339
293,341
294,343
295,342
296,344
297,346
298,345
299,348
300,347
301,349
302,350
303,353
304,351
305,355
306,352
307,358
308,354
309,359
310,356
311,357
312,360
313,361
314,362
315,363
316,364
317,365
318,366
319,368
320,367
321,369
322,373
323,370
324,374
325,371
326,372
327,378
328,375
329,377
330,376
331,379
332,381
333,380
334,383
335,382
336,89
337,90
338,385
339,384
340,387
341,3180
342,2978
343,389
344,392
345,391
346,393
347,1608
348,1599
349,1017
350,464
351,470
352,437
353,439
354,440
355,465
356,469
357,466
358,472
359,467
360,474
361,471
362,476
363,473
364,475
365,477
366,478
367,480
368,479
369,482
370,481
371,485
372,483
373,484
374,486
375,489
376,491
377,488
378,493
379,490
380,492
381,497
382,494
383,7159
384,495
385,500
386,394
387,396
388,398
389,4392
390,401
391,400
392,402
393,403
394,404
395,405
396,406
397,408
398,407
399,411
400,409
401,410
402,413
403,412
404,414
405,415
406,416
407,417
408,418
409,419
410,420
411,421
412,423
413,425
414,424
415,426
416,429
417,427
418,430
419,428
420,432
421,431
422,433
423,434
424,436
425,435
426,438
427,441
428,442
429,444
430,443
431,446
432,158
433,160
434,159
435,162
436,445
437,448
438,7175
439,447
440,451
441,449
442,453
443,450
444,452
445,455
446,457
447,454
448,456
449,459
450,458
451,461
452,460
453,463
454,462
455,468
456,539
457,540
458,541
459,543
460,545
461,549
462,550
463,552
464,554
465,557
466,559
467,561
468,565
469,560
470,566
471,562
472,568
473,563
474,95
475,94
476,97
477,96
478,99
479,564
480,567
481,570
482,571
483,569
484,573
485,397
486,496
487,502
488,499
489,542
490,501
491,544
492,503
493,546
494,504
495,505
496,506
497,547
498,507
499,548
500,551
501,508
502,509
503,553
504,510
505,555
506,511
507,556
508,512
509,558
510,513
511,514
512,515
513,7262
514,422
515,517
516,518
517,519
518,520
519,521
520,522
521,303
522,523
523,524
524,525
525,526
526,527
527,528
528,529
529,531
530,532
531,533
532,534
533,535
534,498
535,536
536,537
537,1919
538,7644
539,7648
540,7623
541,7632
542,7651
543,7829
544,7650
545,7624
546,7647
547,572
548,576
549,574
550,4559
551,3277
552,575
553,578
554,577
555,579
556,583
557,585
558,584
559,587
560,586
561,588
562,589
563,590
564,592
565,591
566,594
567,593
568,595
569,596
570,597
571,598
572,599
573,7577
574,601
575,600
576,602
577,604
578,603
579,606
580,605
581,608
582,607
583,610
584,609
585,612
586,611
587,613
588,614
589,615
590,616
591,617
592,618
593,619
594,621
595,620
596,622
597,624
598,625
599,623
600,626
601,627
602,628
603,629
604,1386
605,117
606,116
607,4150
608,630
609,631
610,632
611,633
612,634
613,635
614,636
615,637
616,638
617,639
618,640
619,3422
620,3430
621,641
622,643
623,642
624,644
625,645
626,646
627,647
628,648
629,649
630,650
631,651
632,653
633,652
634,655
635,654
636,657
637,656
638,659
639,658
640,661
641,660
642,662
643,663
644,664
645,665
646,4159
647,667
648,666
649,669
650,668
651,671
652,3043
653,672
654,674
655,677
656,676
657,679
658,678
659,681
660,680
661,683
662,682
663,685
664,684
665,687
666,686
667,689
668,688
669,691
670,690
671,693
672,692
673,695
674,694
675,697
676,696
677,3435
678,699
679,698
680,701
681,700
682,703
683,3431
684,3432
685,702
686,704
687,705
688,706
689,711
690,708
691,712
692,709
693,714
694,710
695,716
696,713
697,119
698,4149
699,140
700,718
701,715
702,720
703,717
704,724
705,719
706,721
707,723
708,722
709,1113
710,726
711,727
712,728
713,115
714,725
715,729
716,1397
717,1909
718,731
719,730
720,732
721,734
722,733
723,738
724,735
725,7679
726,741
727,736
728,743
729,737
730,745
731,739
732,746
733,7707
734,789
735,742
736,748
737,750
738,744
739,752
740,5789
741,7706
742,754
743,756
744,747
745,749
746,758
747,751
748,760
749,771
750,5777
751,772
752,774
753,773
754,5778
755,775
756,777
757,7705
758,5779
759,778
760,780
761,779
762,786
763,781
764,740
765,782
766,790
